video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
tA-cUlv-3Z8,17.14.11,(11/11/2017) Kelvikkenna Bathil | Exclusive Interview with Former Finance Minister P.Chidambaram,Thanthi TV,25,2017-11-11T16:57:20.000Z,202926,2057,244,896,FALSE,FALSE,FALSE
SVc0gV3pWC0,17.14.11,Haq Se Qarib Qarib Singlle - featuring Irrfan Khan.,Zakir Khan,22,2017-11-09T10:28:36.000Z,1353040,53866,1111,2232,FALSE,FALSE,FALSE
PVyuSPi0brM,17.14.11,सुबह-सुबह अजवाइन का पानी 4 दिन पीने के बाद आप खुद चौकन्ने हो जायेंगे// Ayurved Samadhan,Ayurved Samadhan,26,2017-11-13T09:31:37.000Z,24700,360,30,13,FALSE,FALSE,FALSE
sOwXjFMy17Y,17.14.11,నవంబర్ 13   (చివరి కార్తిక సోమవారం) ఇది ఒక్కటి తింటే  దీపం దానం చేసినంత పుణ్యం మరియు అదృష్టం,local telugu,22,2017-11-13T03:59:37.000Z,55523,220,41,5,FALSE,FALSE,FALSE
r0wnuv1X1Z0,17.14.11,"Samantha , Naga Chaitanya Wedding Reception held in Hyderabad",ETV Telangana,25,2017-11-12T16:35:59.000Z,24276,1,1,1,FALSE,FALSE,FALSE
WZIsINLpDcA,17.14.11,வள்ளி | Valli | Sun TV | Tamil Serial | Episode 1425 Promo,Saregama TVShows,24,2017-11-13T06:05:04.000Z,58675,226,23,30,FALSE,FALSE,FALSE
KPSK2qOPvuU,17.14.11,Mooli Gajar ka mix Achaar । सर्दियों के लिये खास गाजर मूली का अचार । Gaazar Muli Pickle,Nisha Madhulika,26,2017-11-13T05:18:42.000Z,73579,2095,84,547,FALSE,FALSE,FALSE
XU6iH5LHwDw,17.14.11,హిజ్రాల నుంచి ఈ వస్తువు తీసుకుంటే మీ జీవితం మారిపోతుంది | Change Your Life | Mana Telugu,Mana Telugu,22,2017-11-12T04:30:00.000Z,65054,349,28,0,TRUE,FALSE,FALSE
4f20l8mdBh0,17.14.11,Ramaleela Success Trailer | Dileep | Arun Gopy | Mulakkuppadam Films,Mulakuppadam Films,24,2017-11-11T10:30:00.000Z,132421,3509,89,294,FALSE,FALSE,FALSE
Jwa0Qh1muyA,17.14.11,రిసెప్షన్ లో సమంత వేసుకున్న డ్రెస్ ఎన్ని లక్షల్లో తెలిస్తే షాక్ | Samantha Dress Cost,Tollywood Nagar,24,2017-11-13T04:12:58.000Z,58019,87,31,0,TRUE,FALSE,FALSE
SDG5U00mS_U,17.14.11,Snippets From The IBPS PO/CLERK SEMINAR By ADDA247 Video Team,Adda247 :Official Channel of BankersAdda & SSCAdda,27,2017-11-13T07:58:05.000Z,12790,234,22,46,FALSE,FALSE,FALSE
5zHIyadCwwE,17.14.11,"Tech Talks #346 - Moto X4, BharatNet II, iPhone X FaceID, Indigo Laptop Smoke, Rubber Electricity",Technical Guruji,28,2017-11-13T16:58:20.000Z,153384,29321,750,1787,FALSE,FALSE,FALSE
Uf_rqW2yTgs,17.14.11,Rana Having Fun With Samantha Naga Chaitanya @Naga Chaitanya and Samantha Reception #9Roses Media,9Roses Media,24,2017-11-12T18:41:39.000Z,75843,55,35,4,FALSE,FALSE,FALSE
tzlF8oZd2BU,17.14.11,"engagement काका कुमाणसी का सगाई में भिजोल ,राजस्थानी हरयाणवी कॉमेडी",Murari Ki Kocktail,1,2017-11-11T11:35:45.000Z,269593,3931,390,640,FALSE,FALSE,FALSE
3QsBs8JM3sM,17.14.11,"Half Boil | Web Series - Episode 7 | Gopi,Sudhakar,Javith | Madras Central",Madras Central,24,2017-11-10T11:36:01.000Z,868921,34242,1317,4604,FALSE,FALSE,FALSE
2Vv-BfVoq4g,17.14.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,2017-11-09T11:04:14.000Z,33523622,1634126,21082,85067,FALSE,FALSE,FALSE
hJ6nM40tuKQ,17.14.11,ലൈവിൽ വന്നു ഭാരിയക്ക്‌  പാട്ടു പാടി കൊടുത്തു ചാക്കോച്ചൻ.!!! ക്ലൈമാക്സ്‌ മിസ്സ്‌ ആക്കല്ലേ... !!!,Malayalam Media,24,2017-11-13T01:53:12.000Z,209606,3739,118,245,FALSE,FALSE,FALSE
3BF-iAMjciE,17.14.11,मृत अनिकेत कोथळेंच्या मुलीचा आर्त सवाल,ZEE 24 TAAS,25,2017-11-12T08:12:19.000Z,37616,17,0,5,FALSE,FALSE,FALSE
_Qh5u5U9h80,17.14.11,Uppum Mulakum│Flowers│EP# 473,Flowers Comedy,24,2017-11-11T08:44:35.000Z,482839,3978,248,848,FALSE,FALSE,FALSE
6I2yAoxBRtI,17.14.11,Virgin Woman Diaries | Season FINALE | Web Series | Kabir Sadanand | FrogsLehren | HD,Frogs Lehren,1,2017-11-13T05:30:00.000Z,181117,3218,222,517,FALSE,FALSE,FALSE
u84lPMD6UaE,17.14.11,Samantha Hilarious Comedy with Vennala Kishore and sai Dharam Tej | NewsMax Telugu,NewsMax,24,2017-11-10T20:00:04.000Z,146859,421,52,5,FALSE,FALSE,FALSE
qgasli1u-Ag,17.14.11,AUNTY KI GHANTI PART 2 | FULL MUSIC VIDEO,Mallika,23,2017-11-11T08:34:08.000Z,108414,3771,5349,2491,FALSE,FALSE,FALSE
UtqE056lqas,17.14.11,"Lagira Zhala Jee - लगिरा झला जी - Episode 172  - November 13, 2017 - Preview",zeemarathi,24,2017-11-12T02:23:48.000Z,78447,241,11,13,FALSE,FALSE,FALSE
ZJaR1RPrvkA,17.14.11,खेसारी लाल के जिंदगी की 15 अनसुनी कहानी  || Bhojpuri Hero Khesari Lal Yadav 15 Real Story,Bhojpuri Tube,24,2017-11-11T07:09:11.000Z,218178,1373,214,118,FALSE,FALSE,FALSE
7HTw1Jz5lcQ,17.14.11,ಬಿಗ್ ಬಾಸ್ ಐದರ ಶ್ರೀಮಂತ ಮತ್ತು ಕಡು ಬಡವ ಸ್ಪರ್ದಿ ಯಾರು ಶಾಕಿಂಗ್ | big boss poor contestant,SANDALWOOD REVIEWS,1,2017-11-11T03:36:47.000Z,103665,566,66,76,FALSE,FALSE,FALSE
d380meD0W0M,17.14.11,I Dare You: GOING BALD!?,nigahiga,24,2017-11-12T18:01:41.000Z,2095731,132237,1989,17518,FALSE,FALSE,FALSE
NgEgYjvh6rE,17.14.11,FilterCopy | Types Of Men You Meet On A Date | Ft. Irrfan and Parvathy,FilterCopy,23,2017-11-09T06:39:48.000Z,1014724,25413,891,1030,FALSE,FALSE,FALSE
yqV4godQ7Xk,17.14.11,Actor Rajasekhar Exclusive Interview | Frankly With TNR #83 | Talking Movies With iDream #554,iDream Telugu Movies,24,2017-11-10T16:11:19.000Z,277050,2131,113,538,FALSE,FALSE,FALSE
Svdb9YT86vc,17.14.11,వీళ్ళేమో టాప్ విలన్స్ కానీ వీళ్ళ భార్య లు టాప్ హీరోయిన్స్ | 6 Tollywood Villains Wives | Gossip Adda,Gossip Adda,24,2017-11-11T08:43:52.000Z,109580,391,73,18,FALSE,FALSE,FALSE
_bNrVP6CCfs,17.14.11,Aramm - Aram Movie Review - Nayantharaa - Tamil Talkies,Tamil Talkies,24,2017-11-10T20:45:14.000Z,308394,5415,1833,568,FALSE,FALSE,FALSE
h6Z9mmSNJcw,17.14.11,মাত্র ১ ফোটা ব্যবহারে লিঙ্গ ২ ঘন্টা দাড়িয়ে থাকবে ষ্টিলের মতো-How To Make Healthy Leech Oil At Home,Health Tips - Hakim Bari,26,2017-11-11T06:50:54.000Z,298998,1260,371,0,TRUE,FALSE,FALSE
FBzjw0yPup0,17.14.11,dayyam pattindi  | comedy | my village show,My Village Show,23,2017-11-10T08:51:25.000Z,748248,18891,1001,2078,FALSE,FALSE,FALSE
A_XgvSkbCvM,17.14.11,ചാക്കോച്ചൻ ഇത്ര മനോഹരമായി പാടുമെന്ന് കരുതിയില്ല | Kunchacko Boban singing a cute song for his wife,Cinemakkaryam,24,2017-11-13T02:03:35.000Z,17006,287,2,11,FALSE,FALSE,FALSE
uzcHSrzwp9I,17.14.11,விக்ரம் மனைவி பற்றி பலரும் அறியாத உண்மைகள் | Tamil Cinema News | Kollywood News | Latest Seithigal,TamilCrowd,24,2017-11-11T05:52:41.000Z,377572,1717,170,55,FALSE,FALSE,FALSE
B6IxqP9z9XE,17.14.11,லட்சுமி கதையும் அதன் விமர்சனமும் | Lakshmi - Short Film Real Story | TPEXC_15,Tamil Pokkisham,24,2017-11-11T10:34:02.000Z,134307,1762,104,437,FALSE,FALSE,FALSE
BwIw80nybkU,17.14.11,Weekly Reliv | Taarak Mehta Ka Ooltah Chashmah |06th November to 10th November 2017| Ep 2331 to 2335,SAB TV,24,2017-11-11T14:43:46.000Z,277839,1167,162,87,FALSE,FALSE,FALSE
7RGnOALpYCk,17.14.11,Durga | Full Ep 913 11th Nov 2017 | Odia Serial - TarangTV,Tarang TV,24,2017-11-11T16:59:54.000Z,85165,244,41,16,FALSE,FALSE,FALSE
Rhq6uJkoy_o,17.14.11,काला जादू करने वाले पर वापिस कैसे करें ।। How To BackFire Of Black Magic ।। Om Namoh Narayan,Om Namoh Narayan,27,2017-11-11T10:30:09.000Z,69426,1112,125,0,TRUE,FALSE,FALSE
PBuCqgA7u5w,17.14.11,Abhishek Bachchan Lashes Out As Paparazzi Click Aishwarya Rai Bachchan In A Wrong Light,Business Of Cinema,24,2017-11-08T11:34:35.000Z,2664065,2351,4169,883,FALSE,FALSE,FALSE
